transaction_id,user_id,date,time,amount,merchant_name,category,payment_mode,transaction_type,city,day_of_week,month,weekend_flag,festival_flag,recurring_flag,location_type,fraud_label,notes
TXN-100032,12,2025-12-31,18:29:13,3813.99,Rapido,Travel,Credit Card,Expense,Bengaluru,Wednesday,12,False,True,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100033,46,2026-02-09,12:13:13,647.22,McDonald's,Food,Credit Card,Expense,Delhi,Monday,2,False,False,False,Home City,0,Synthetic transaction (Food Lover)
TXN-100034,65,2025-11-14,03:53:13,364.79,KFC,Food,Net Banking,Expense,Delhi,Friday,11,False,True,False,Home City,0,Synthetic transaction (High Saver)
TXN-100035,93,2025-08-09,19:14:13,1094.14,BookMyShow,Entertainment,UPI,Expense,Delhi,Saturday,8,True,False,False,Home City,0,Synthetic transaction (Food Lover)
TXN-100036,85,2025-12-09,00:51:13,1919.0,MedPlus,Healthcare,UPI,Expense,Delhi,Tuesday,12,False,True,False,Home City,0,Synthetic transaction (Family User)
TXN-100037,33,2026-06-20,16:28:13,2409.04,Flipkart,Shopping,UPI,Expense,Delhi,Saturday,6,True,False,False,Home City,0,Synthetic transaction (Food Lover)
TXN-100038,1,2025-11-04,11:53:13,496.51,Uber,Travel,UPI,Expense,Bengaluru,Tuesday,11,False,True,False,Home City,0,Synthetic transaction (Freelancer)
TXN-100039,38,2026-07-29,09:57:13,151.84,Rapido,Travel,Credit Card,Expense,Bengaluru,Wednesday,7,False,False,False,Home City,0,Synthetic transaction (Student)
TXN-100040,90,2026-02-02,14:41:13,2491.34,Apollo Pharmacy,Healthcare,Credit Card,Expense,Bengaluru,Monday,2,False,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100041,13,2026-07-25,20:19:13,2613.04,Coursera,Education,Credit Card,Expense,Mumbai,Saturday,7,True,False,True,Home City,0,Synthetic transaction (Freelancer)
TXN-100042,94,2025-12-13,08:03:13,6431.21,KFC,Food,UPI,Expense,Pune,Saturday,12,True,True,False,Unrecognized City,1,Synthetic transaction (Food Lover)
TXN-100043,97,2026-05-19,20:16:13,4117.72,Ajio,Shopping,Net Banking,Expense,Bengaluru,Tuesday,5,False,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100044,93,2025-09-12,23:45:13,1373.69,MedPlus,Healthcare,Net Banking,Expense,Mumbai,Friday,9,False,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100045,70,2026-02-05,09:40:13,279.82,Swiggy,Food,Credit Card,Expense,Bengaluru,Thursday,2,False,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100046,82,2026-01-16,02:42:13,2620.97,Coursera,Education,Credit Card,Expense,Bengaluru,Friday,1,False,False,True,Home City,0,Synthetic transaction (Freelancer)
TXN-100047,89,2026-05-24,00:02:13,4785.12,Rapido,Travel,Debit Card,Expense,Delhi,Sunday,5,True,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100048,37,2025-11-25,17:06:13,323.97,Ola,Travel,Net Banking,Expense,Bengaluru,Tuesday,11,False,True,False,Home City,0,Synthetic transaction (Freelancer)
TXN-100049,68,2026-06-22,21:12:13,941.76,Domino's,Food,Debit Card,Expense,Bengaluru,Monday,6,False,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100050,24,2025-12-15,17:54:13,1357.06,Water Bill,Utilities,Debit Card,Expense,Delhi,Monday,12,False,True,True,Home City,0,Synthetic transaction (Freelancer)
TXN-100051,56,2026-02-26,12:06:13,424.12,McDonald's,Food,Credit Card,Expense,Delhi,Thursday,2,False,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100052,74,2025-10-20,08:52:13,414.12,Swiggy,Food,Credit Card,Expense,Mumbai,Monday,10,False,True,False,Home City,0,Synthetic transaction (Food Lover)
TXN-100053,40,2025-08-31,20:56:13,1238.76,Apollo Pharmacy,Healthcare,Credit Card,Expense,Bengaluru,Sunday,8,True,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100054,65,2026-01-02,20:23:13,1539.53,Amazon,Shopping,Credit Card,Expense,Delhi,Friday,1,False,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100055,1,2026-05-11,04:13:13,4084.78,Amazon,Shopping,Credit Card,Expense,Bengaluru,Monday,5,False,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100056,86,2026-03-19,23:20:13,11410.14,Myntra,Shopping,UPI,Expense,Delhi,Thursday,3,False,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100057,91,2026-07-16,19:02:13,4039.63,Flipkart,Shopping,Net Banking,Expense,Bengaluru,Thursday,7,False,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100058,71,2026-05-09,21:58:13,2141.1,Amazon,Shopping,UPI,Expense,Bengaluru,Saturday,5,True,False,False,Home City,0,Synthetic transaction (Food Lover)
TXN-100059,29,2025-11-08,21:26:13,339.1,Pizza Hut,Food,Debit Card,Expense,Mumbai,Saturday,11,True,True,False,Home City,0,Synthetic transaction (High Saver)
TXN-100060,74,2025-11-18,13:49:13,490.71,Rapido,Travel,Net Banking,Expense,Bengaluru,Tuesday,11,False,True,False,Home City,0,Synthetic transaction (Working Professional)
TXN-100061,54,2026-05-28,07:25:13,356.24,Rapido,Travel,Debit Card,Expense,Delhi,Thursday,5,False,False,False,Home City,0,Synthetic transaction (Student)
TXN-100062,26,2025-11-09,21:19:13,3597.02,Starbucks,Food,UPI,Expense,Bengaluru,Sunday,11,True,True,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100063,69,2025-10-07,12:15:13,4218.33,PVR,Entertainment,Credit Card,Expense,Delhi,Tuesday,10,False,True,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100064,87,2026-05-21,01:10:13,1762.9,PVR,Entertainment,Debit Card,Expense,Bengaluru,Thursday,5,False,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100065,31,2026-05-14,04:07:13,995.76,Amazon,Shopping,Net Banking,Expense,Mumbai,Thursday,5,False,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100066,82,2026-06-04,01:10:13,812.51,Myntra,Shopping,Net Banking,Expense,Delhi,Thursday,6,False,False,False,Home City,0,Synthetic transaction (Food Lover)
TXN-100067,9,2026-07-01,23:49:13,1040.37,Water Bill,Utilities,UPI,Expense,Bengaluru,Wednesday,7,False,False,True,Home City,0,Synthetic transaction (Freelancer)
TXN-100068,34,2026-05-07,16:16:13,889.94,Ajio,Shopping,Debit Card,Expense,Delhi,Thursday,5,False,False,False,Home City,0,Synthetic transaction (Student)
TXN-100069,75,2026-04-12,23:48:13,10895.22,Ajio,Shopping,Credit Card,Expense,Mumbai,Sunday,4,True,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100070,14,2025-10-10,23:44:13,1519.21,Water Bill,Utilities,Net Banking,Expense,Bengaluru,Friday,10,False,True,True,Home City,0,Synthetic transaction (Food Lover)
TXN-100071,93,2026-06-17,19:16:13,1869.53,Water Bill,Utilities,UPI,Expense,Mumbai,Wednesday,6,False,False,True,Home City,0,Synthetic transaction (Working Professional)
TXN-100072,83,2026-04-01,08:29:13,4539.48,Rapido,Travel,Credit Card,Expense,Delhi,Wednesday,4,False,False,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100073,86,2026-01-21,05:02:13,2535.37,Ola,Travel,UPI,Expense,Bengaluru,Wednesday,1,False,False,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100074,86,2026-04-06,23:01:13,13993.54,Myntra,Shopping,Debit Card,Expense,Bengaluru,Monday,4,False,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100075,89,2026-04-15,12:44:13,2583.33,Broadband,Utilities,Debit Card,Expense,Mumbai,Wednesday,4,False,False,True,Home City,0,Synthetic transaction (High Saver)
TXN-100076,24,2026-06-12,07:18:13,1075.97,KFC,Food,Credit Card,Expense,Delhi,Friday,6,False,False,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100077,9,2025-09-28,01:46:13,1308.67,Ola,Travel,Net Banking,Expense,Delhi,Sunday,9,True,False,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100078,10,2026-02-13,11:11:13,2961.2,Uber,Travel,UPI,Expense,Mumbai,Friday,2,False,False,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100079,85,2025-10-08,18:58:13,2574.66,Coursera,Education,Debit Card,Expense,Mumbai,Wednesday,10,False,True,True,Home City,0,Synthetic transaction (Freelancer)
TXN-100080,25,2025-12-25,13:02:13,657.83,General Store,Recharge,Net Banking,Expense,Mumbai,Thursday,12,False,True,False,Home City,0,Synthetic transaction (Student)
TXN-100081,37,2025-11-23,07:16:13,653.09,BookMyShow,Entertainment,UPI,Expense,Bengaluru,Sunday,11,True,True,False,Home City,0,Synthetic transaction (Student)
TXN-100082,62,2026-01-19,03:16:13,1391.42,PVR,Entertainment,Credit Card,Expense,Delhi,Monday,1,False,False,False,Home City,0,Synthetic transaction (Food Lover)
TXN-100083,72,2025-10-04,15:38:13,1047.05,BookMyShow,Entertainment,Credit Card,Expense,Bengaluru,Saturday,10,True,True,False,Home City,0,Synthetic transaction (Working Professional)
TXN-100084,83,2026-06-08,20:02:13,401.27,Pizza Hut,Food,UPI,Expense,Bengaluru,Monday,6,False,False,False,Home City,0,Synthetic transaction (Student)
TXN-100085,84,2026-03-21,23:24:13,2631.72,Amazon,Shopping,Debit Card,Expense,Bengaluru,Saturday,3,True,False,False,Home City,0,Synthetic transaction (Freelancer)
TXN-100086,45,2026-01-22,03:44:13,2126.94,MedPlus,Healthcare,Net Banking,Expense,Bengaluru,Thursday,1,False,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100087,6,2026-06-03,06:33:13,2130.12,Apollo Pharmacy,Healthcare,Debit Card,Expense,Bengaluru,Wednesday,6,False,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100088,38,2026-06-25,15:03:13,1111.3,Gas Bill,Utilities,Net Banking,Expense,Delhi,Thursday,6,False,False,True,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100089,92,2026-06-02,17:53:13,937.32,KFC,Food,Credit Card,Expense,Bengaluru,Tuesday,6,False,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100090,48,2026-06-25,03:58:13,3625.71,Uber,Travel,Credit Card,Expense,Bengaluru,Thursday,6,False,False,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100091,80,2025-08-06,21:27:13,334.95,McDonald's,Food,UPI,Expense,Mumbai,Wednesday,8,False,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100092,71,2026-03-30,18:18:13,1890.27,Uber,Travel,Debit Card,Expense,Delhi,Monday,3,False,False,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100093,48,2026-02-27,13:13:13,250.96,Ola,Travel,Debit Card,Expense,Mumbai,Friday,2,False,False,False,Home City,0,Synthetic transaction (Student)
TXN-100094,90,2025-09-27,00:12:13,972.52,Swiggy,Food,UPI,Expense,Bengaluru,Saturday,9,True,False,False,Home City,0,Synthetic transaction (Freelancer)
TXN-100095,13,2026-02-19,18:31:13,460.32,Domino's,Food,UPI,Expense,Bengaluru,Thursday,2,False,False,False,Home City,0,Synthetic transaction (Student)
TXN-100096,67,2025-10-20,05:40:13,548.94,General Store,Recharge,Debit Card,Expense,Mumbai,Monday,10,False,True,False,Home City,0,Synthetic transaction (Student)
TXN-100097,79,2026-06-18,17:24:13,321.41,KFC,Food,Credit Card,Expense,Bengaluru,Thursday,6,False,False,False,Home City,0,Synthetic transaction (Working Professional)
TXN-100098,59,2025-10-14,12:11:13,1180.64,Gas Bill,Utilities,Net Banking,Expense,Delhi,Tuesday,10,False,True,True,Home City,0,Synthetic transaction (Food Lover)
TXN-100099,61,2025-08-29,06:36:13,1176.58,Apollo Pharmacy,Healthcare,UPI,Expense,Bengaluru,Friday,8,False,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100100,74,2025-08-11,06:38:13,1325.33,Gas Bill,Utilities,Credit Card,Expense,Delhi,Monday,8,False,False,True,Home City,0,Synthetic transaction (Freelancer)
TXN-100101,94,2026-04-14,12:30:13,16634.64,Amazon,Shopping,Net Banking,Expense,Mumbai,Tuesday,4,False,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100102,43,2025-11-17,04:58:13,2128.14,Rapido,Travel,Debit Card,Expense,Mumbai,Monday,11,False,True,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100103,36,2026-06-18,08:32:13,373.68,General Store,Recharge,UPI,Expense,Mumbai,Thursday,6,False,False,False,Home City,0,Synthetic transaction (Student)
TXN-100104,100,2026-07-17,02:23:13,410.56,McDonald's,Food,Net Banking,Expense,Mumbai,Friday,7,False,False,False,Home City,0,Synthetic transaction (Student)
TXN-100105,60,2025-11-01,08:38:13,3458.75,Rapido,Travel,Net Banking,Expense,Delhi,Saturday,11,True,True,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100106,46,2026-03-31,12:14:13,2965.35,Rapido,Travel,UPI,Expense,Bengaluru,Tuesday,3,False,False,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100107,37,2026-07-11,05:15:13,1028.09,PVR,Entertainment,UPI,Expense,Mumbai,Saturday,7,True,False,False,Home City,0,Synthetic transaction (Student)
TXN-100108,16,2026-01-25,08:47:13,650.91,McDonald's,Food,Debit Card,Expense,Delhi,Sunday,1,True,False,False,Home City,0,Synthetic transaction (Student)
TXN-100109,85,2026-07-03,22:18:13,5335.82,Udemy,Education,Credit Card,Expense,Mumbai,Friday,7,False,False,True,Home City,0,Synthetic transaction (Family User)
TXN-100110,47,2025-09-11,21:42:13,14045.55,Amazon,Shopping,Credit Card,Expense,Delhi,Thursday,9,False,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100111,59,2025-10-03,16:42:13,179.2,KFC,Food,Debit Card,Expense,Mumbai,Friday,10,False,True,False,Home City,0,Synthetic transaction (Freelancer)
TXN-100112,43,2025-10-13,17:06:13,633.24,KFC,Food,UPI,Expense,Bengaluru,Monday,10,False,True,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100113,53,2026-07-11,10:40:13,1772.73,PVR,Entertainment,Credit Card,Expense,Mumbai,Saturday,7,True,False,False,Home City,0,Synthetic transaction (Working Professional)
TXN-100114,16,2026-02-16,16:47:13,3101.12,Water Bill,Utilities,UPI,Expense,Delhi,Monday,2,False,False,True,Home City,0,Synthetic transaction (High Saver)
TXN-100115,7,2026-04-09,13:52:13,10476.96,Flipkart,Shopping,Credit Card,Expense,Bengaluru,Thursday,4,False,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100116,83,2026-04-30,12:55:13,373.54,KFC,Food,Net Banking,Expense,Mumbai,Thursday,4,False,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100117,17,2026-07-08,05:27:13,1077.57,MedPlus,Healthcare,Credit Card,Expense,Bengaluru,Wednesday,7,False,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100118,57,2026-07-21,21:42:13,4665.5,Water Bill,Utilities,Credit Card,Expense,Bengaluru,Tuesday,7,False,False,True,Home City,0,Synthetic transaction (Family User)
TXN-100119,29,2026-07-17,22:17:13,3275.21,Myntra,Shopping,Net Banking,Expense,Bengaluru,Friday,7,False,False,False,Home City,0,Synthetic transaction (Working Professional)
TXN-100120,2,2025-12-06,12:06:13,1181.76,Pizza Hut,Food,Credit Card,Expense,Bengaluru,Saturday,12,True,True,False,Home City,0,Synthetic transaction (Food Lover)
TXN-100121,6,2025-08-18,07:47:13,494.61,General Store,Recharge,Net Banking,Expense,Bengaluru,Monday,8,False,False,False,Home City,0,Synthetic transaction (Student)
TXN-100122,58,2026-01-11,10:10:13,670.16,PVR,Entertainment,Net Banking,Expense,Bengaluru,Sunday,1,True,False,False,Home City,0,Synthetic transaction (Student)
TXN-100123,59,2025-12-19,10:20:13,2510.44,Water Bill,Utilities,Credit Card,Expense,Mumbai,Friday,12,False,True,True,Home City,0,Synthetic transaction (High Saver)
TXN-100124,41,2026-05-29,15:36:13,3582.79,Uber,Travel,Debit Card,Expense,Bengaluru,Friday,5,False,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100125,44,2026-02-22,00:31:13,631.49,Pizza Hut,Food,UPI,Expense,Delhi,Sunday,2,True,False,False,Home City,0,Synthetic transaction (Working Professional)
TXN-100126,50,2026-07-09,18:44:13,1979.39,Electricity Bill,Utilities,Net Banking,Expense,Bengaluru,Thursday,7,False,False,True,Home City,0,Synthetic transaction (High Saver)
TXN-100127,67,2025-12-30,15:24:13,449.12,General Store,Recharge,Credit Card,Expense,Mumbai,Tuesday,12,False,True,False,Home City,0,Synthetic transaction (Student)
TXN-100128,20,2025-12-18,08:19:13,622.15,BookMyShow,Entertainment,Credit Card,Expense,Delhi,Thursday,12,False,True,False,Home City,0,Synthetic transaction (Student)
TXN-100129,91,2025-11-26,01:21:13,1484.04,Gas Bill,Utilities,Net Banking,Expense,Delhi,Wednesday,11,False,True,True,Home City,0,Synthetic transaction (High Saver)
TXN-100130,95,2025-11-12,04:27:13,320.57,Uber,Travel,Debit Card,Expense,Bengaluru,Wednesday,11,False,True,False,Home City,0,Synthetic transaction (Student)
TXN-100131,41,2025-09-24,20:38:13,2819.9,Myntra,Shopping,Debit Card,Expense,Bengaluru,Wednesday,9,False,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100132,95,2025-12-25,14:01:13,5026.46,Water Bill,Utilities,UPI,Expense,Mumbai,Thursday,12,False,True,True,Home City,0,Synthetic transaction (Family User)
TXN-100133,84,2025-12-12,11:22:13,6797.87,Myntra,Shopping,Debit Card,Expense,Delhi,Friday,12,False,True,False,Home City,0,Synthetic transaction (Family User)
TXN-100134,7,2026-02-07,17:09:13,18629.67,Myntra,Shopping,Net Banking,Expense,Bengaluru,Saturday,2,True,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100135,45,2026-03-11,14:11:13,2458.44,Flipkart,Shopping,Net Banking,Expense,Mumbai,Wednesday,3,False,False,False,Home City,0,Synthetic transaction (Freelancer)
TXN-100136,69,2026-02-16,02:03:13,481.23,Ola,Travel,UPI,Expense,Bengaluru,Monday,2,False,False,False,Home City,0,Synthetic transaction (Freelancer)
TXN-100137,46,2025-11-29,19:53:13,590.2,Starbucks,Food,UPI,Expense,Delhi,Saturday,11,True,True,False,Home City,0,Synthetic transaction (Freelancer)
TXN-100138,62,2025-10-30,07:35:13,2343.01,BookMyShow,Entertainment,Debit Card,Expense,Bengaluru,Thursday,10,False,True,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100139,54,2026-03-25,14:32:13,766.33,Zomato,Food,Debit Card,Expense,Bengaluru,Wednesday,3,False,False,False,Home City,0,Synthetic transaction (Food Lover)
TXN-100140,30,2025-12-07,23:52:13,32368.88,Flipkart,Shopping,Credit Card,Expense,Bengaluru,Sunday,12,True,True,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100141,3,2026-07-08,05:36:13,3462.15,Ola,Travel,Net Banking,Expense,Mumbai,Wednesday,7,False,False,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100142,50,2026-06-28,23:04:13,3589.01,Rapido,Travel,Net Banking,Expense,Bengaluru,Sunday,6,True,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100143,20,2026-02-07,06:35:13,2251.87,MedPlus,Healthcare,Credit Card,Expense,Delhi,Saturday,2,True,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100144,47,2025-10-22,14:24:13,660.13,Apollo Pharmacy,Healthcare,UPI,Expense,Mumbai,Wednesday,10,False,True,False,Home City,0,Synthetic transaction (Family User)
TXN-100145,84,2026-05-20,10:05:13,1100.9,BookMyShow,Entertainment,Debit Card,Expense,Delhi,Wednesday,5,False,False,False,Home City,0,Synthetic transaction (Working Professional)
TXN-100146,12,2026-01-16,16:53:13,762.24,Zomato,Food,UPI,Expense,Bengaluru,Friday,1,False,False,False,Home City,0,Synthetic transaction (Working Professional)
TXN-100147,53,2026-06-08,12:24:13,1152.41,Ajio,Shopping,Net Banking,Expense,Mumbai,Monday,6,False,False,False,Home City,0,Synthetic transaction (Student)
TXN-100148,58,2026-05-21,08:52:13,1780.5,Electricity Bill,Utilities,Debit Card,Expense,Bengaluru,Thursday,5,False,False,True,Home City,0,Synthetic transaction (Food Lover)
TXN-100149,95,2026-01-24,15:31:13,13434.73,Amazon,Shopping,UPI,Expense,Delhi,Saturday,1,True,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100150,24,2026-01-10,09:19:13,3086.4,Myntra,Shopping,Credit Card,Expense,Mumbai,Saturday,1,True,False,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100151,57,2026-06-28,07:41:13,1143.39,Zomato,Food,Debit Card,Expense,Bengaluru,Sunday,6,True,False,False,Home City,0,Synthetic transaction (Working Professional)
TXN-100152,80,2026-04-05,17:55:13,2789.49,Water Bill,Utilities,Debit Card,Expense,Mumbai,Sunday,4,True,False,True,Home City,0,Synthetic transaction (Family User)
TXN-100153,84,2026-04-05,19:27:13,171.65,Ola,Travel,Debit Card,Expense,Delhi,Sunday,4,True,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100154,8,2026-01-24,10:18:13,2268.77,Apollo Pharmacy,Healthcare,Net Banking,Expense,Mumbai,Saturday,1,True,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100155,21,2026-07-11,06:28:13,1204.86,Starbucks,Food,Net Banking,Expense,Bengaluru,Saturday,7,True,False,False,Home City,0,Synthetic transaction (Food Lover)
TXN-100156,57,2025-12-31,16:34:13,2446.74,Gas Bill,Utilities,UPI,Expense,Delhi,Wednesday,12,False,True,True,Home City,0,Synthetic transaction (High Saver)
TXN-100157,43,2025-10-31,08:16:13,1324.37,Starbucks,Food,UPI,Expense,Bengaluru,Friday,10,False,True,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100158,42,2025-08-26,16:20:13,4635.29,Ajio,Shopping,UPI,Expense,Mumbai,Tuesday,8,False,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100159,57,2025-08-28,07:35:13,1607.28,PVR,Entertainment,Net Banking,Expense,Bengaluru,Thursday,8,False,False,False,Home City,0,Synthetic transaction (Working Professional)
